221021	40.134856	-74.960965
35701	40.134856	-74.960965
184655	40.134856	-74.960965
48742	40.134856	-74.960965
184655	40.134856	-74.960965
184655	40.134856	-74.960965
184655	40.134856	-74.960965
184655	40.134856	-74.960965
75982	40.134856	-74.960965
4090	40.134856	-74.960965
86396	40.134856	-74.960965
51768	-6.169322	106.902346
15061	41.018722	28.926686
7950	38.435411	27.144312
7950	38.435411	27.144312
7950	38.435411	27.144312
72817	38.435411	27.144312
216875	28.536973	77.222757
7693	35.761455	139.705058
7693	35.761455	139.705058
